number;question;answer_1;answer_2;answer_3;answer_4
36;Ein Sportboot von 12 Meter Länge und mehr benötigt ein Funksicherheitszeugnis...;bei gewerbsmäßiger Nutzung;bei Regattateilnahme;bei Auslandsfahrten und in internationalen Gewässern;in jedem Fall
37;Welche Sendeleistungen lassen sich bei einer fest installierten UKW-Seefunkanlage schalten?;1 Watt oder maximal 25 Watt;25 Watt oder maximal 50 Watt;0,1 Watt oder maximal 2,5 Watt;1 Watt oder maximal 12 Watt
38;Welche Behörde erteilt in Deutschland sechsstellige Rufzeichen für Seefunkstellen?;Bundesnetzagentur (BNetzA), Außenstelle Hamburg;Bundesnetzagentur (BNetzA), Außenstelle Mülheim an der Ruhr;Bundesamt für Seeschifffahrt und Hydrographie (BSH), Hamburg;Wasser- und Schifffahrtsamt (WSA), Hamburg
39;Welche Behörden in Deutschland sind berechtigt, die Funktionsfähigkeit von Seefunkstellen zu überprüfen?;Bundesnetzagentur (BNetzA) und Bundesamt für Seeschifffahrt und Hydrographie (BSH);Wasser- und Schifffahrtsdirektionen;Wasserschutzpolizeibehörden der Küstenländer;Hafenbehörden in den Seehäfen
40;Welche Behörde teilt einer in das Seeschiffsregister eingetragenen Yacht das mindestens vierstellige Unterscheidungssignal zu?;Seeschiffsregister des zuständigen Amtsgerichts;Wasser- und Schifffahrtsverwaltung (WSV);Bundesnetzagentur (BNetzA);Bundesamt für Seeschifffahrt und Hydrographie (BSH)
41;Welche Art von Funkstelle hat z. B. das Rufzeichen „DDTW“?;Seefunkstelle an Bord eines deutschen Schiffes, eingetragen in einem Seeschiffsregister;Küstenfunkstelle des Schiffsmeldedienstes (SMD);Funkstelle des Nichtöffentlichen Funkdienstes;Funkstelle an Bord eines SAR-Hubschraubers
42;Das Abhörverbot und das Fernmeldegeheimnis sind geregelt...;im Telekommunikationsgesetz (TKG);in der Vollzugsordnung für den Funkdienst (VO Funk)/in den Radio Regulations (RR);in der Schiffssicherheitsverordnung (SchSV);im Gesetz über Funkanlagen und Telekommunikationseinrichtungen (FTEG)
43;Wer ist beim Betrieb einer Seefunkstelle auf einem Sportboot zur Wahrung des Fernmeldegeheimnisses und des Abhörverbots verpflichtet?;Alle Personen, die eine Seefunkstelle beaufsichtigen, bedienen oder Kenntnis über öffentlichen Nachrichtenaustausch erlangt haben;Alle Personen, die ständig an Bord sind;Alle Personen, die das Funkgerät bedienen können;Alle Personen, die vom Schiffsführer ausdrücklich dazu verpflichtet worden sind
44;Welche Nachrichten dürfen uneingeschränkt aufgenommen und verbreitet werden?;Aussendungen, die „An alle Funkstellen“ gerichtet sind;Aussendungen, die von allgemeinem Interesse sind;Aussendungen im öffentlichen Seefunkdienst;Aussendungen im Seefunkdienst dürfen uneingeschränkt aufgenommen und verbreitet werden
45;Wenn ein Funkgerät ordnungsgemäß in Verkehr gebracht worden ist, trägt es...;das CE-Zeichen;eine Seriennummer;das GS-Prüfzeichen;das VDE-Prüfzeichen
46;Zur Teilnahme am Binnenschifffahrtsfunk muss eine Seefunkstelle...;mit einer umschaltbaren „Kombi-Anlage für Seefunkdienst und Binnenschifffahrtsfunk“ oder einer zusätzlichen Sprechfunkanlage für den Binnenschifffahrtsfunk ausgerüstet werden;mit einer weiteren Seefunkanlage ausgerüstet werden;nicht geändert werden;mit der MMSI auch eine ATIS-Kennung aussenden
47;Das Seefunkgerät nimmt bei Empfang einen Strom von 0,5 Ampere auf. Wie lange kann das Funkgerät im Empfangsbetrieb an einer Batterie ohne Nachladen überschlägig betrieben werden, wenn die Kapazität 60 Amperestunden beträgt?;120 Stunden;30 Stunden;60 Stunden;90 Stunden
48;Welche Auswirkung auf die Betriebsdauer einer Batterie hat der Sendebetrieb einer Seefunkanlage im Vergleich zum Empfangsbetrieb?;Betriebsdauer wird verkürzt;Betriebsdauer wird halbiert;Betriebsdauer wird verlängert;Betriebsdauer bleibt gleich
49;Wie hoch ist die mittlere Stromaufnahme einer UKW-Seefunkanlage im Empfangsbetrieb?;Je nach Anlage zwischen 0,3 A und 1 A;Je nach Anlage zwischen 0,1 A und 0,2 A;Je nach Anlage zwischen 1 A und 2 A;Je nach Anlage zwischen 2 A und 3 A
50;Wie hoch ist die mittlere Stromaufnahme einer UKW-Seefunkanlage im Sendebetrieb bei 25 Watt Sendeleistung?;Zwischen 4 und 8 Ampere;Zwischen 1 und 2 Ampere;Zwischen 2 und 3 Ampere;Zwischen 10 und 12 Ampere
51;Wozu dient am UKW-Gerät die Rauschsperre (Squelch)?;Der Lautsprecher des Empfängers wird nur ab einem Mindest-Empfangssignalpegel aktiviert;Das Rauschen kann stufenlos auf einen angenehmen Wert eingestellt werden;Die Rauschsperre verbessert die Wiedergabe von schwachen Empfangssignalen;Der Lautsprecher des Empfängers wird nur beim Empfang von Notsignalen aktiviert
52;Welche Eigenschaften des „GPS“ sind für eine GMDSS-Funkanlage von besonderer Bedeutung?;Mit Hilfe von GPS kann die genaue Position des Fahrzeugs bestimmt und übermittelt werden. Ebenso kann die genaue Zeit bestimmt werden;Mit Hilfe von GPS ist ein weltweiter Funkverkehr über Satellit zwischen Schiffen untereinander bzw. mit Küstenfunkstellen möglich;Mit Hilfe von GPS besteht die Möglichkeit der Kommunikation über Inmarsat bzw. COSPAS-SARSAT;Mit Hilfe von GPS erfolgt die Kommunikation mit der Rettungsleitstelle über Satellit
